"dossierid","title","oldhousenumber","descriptivenote","zu_kontrollieren","begruendung","location","kategorie","bemerkung"
HGB_1_091_056,St. Johanns-Vorstadt Th v. 29 hint. Th. u. 31 hint. Th.,"Th. v. 30, Th. v. 38 hint. Th.",Seit 1572. Vorher siehe 21 u. 29. Bis 1579. Nachher siehe [...]. Siehe Plan No. 3.,false,,POINT (2610876.1846190426 1268067.727429218),,
HGB_1_098_019,Klingental Th. v. 17 neben dem Teich,"314 / 315",Ab 1811 mit Einschluss von alt 315 (Klingenthal 17).,false,,POINT (2611399.4969200282 1267917.340486817),,
HGB_1_178_010,"Sägergässlein Th. v. 5, vorderer Theil = 5 laut Grundbuchplan","Th. v. 357, vorderer Theil = 5 laut Grundbuchplan",,false,,POINT (2611494.764884322 1267875.3387042705),,
HGB_1_178_009,"Sägergässlein Th. v. 5, hinterer Theil = 5b laut Grundbuchplan","Th. v. 357, hinterer Theil = 5b laut Grundbuchplan",,false,,POINT (2611494.764884322 1267875.3387042705),,
HGB_1_225_016,"Utengasse Th. v. 3, Keller","Th. v. 396, Keller",Seit 1415. Vorher siehe Th. v. 3 neben 5. Bis 1460. Nachher siehe Th. v. 3 neben 1.,false,,POINT (2611565.821272429 1267820.925850723),,
HGB_1_091_089,"St. Johanns-Vorstadt Th. v. 63, Hinterhaus","Th. v. 4, Hinterhaus",Seit 1722. Vorher siehe 63/65 vereinigt. Bis 1787. Nachher siehe 63 ganz. Siehe Plan No. 4.,false,,POINT (2610871.0330502884 1268277.1001219805),,
HGB_1_091_088,"St. Johanns-Vorstadt Th. v. 63, Vorderhaus","Th. v. 4, Vorderhaus",Seit 1722. Vorher siehe 63/65 vereinigt. Bis 1787. Nachher siehe 63 ganz. Siehe Plan No. 4.,false,,POINT (2610871.0330502884 1268277.1001219805),,
HGB_1_225_018,Utengasse 11,"409 / 406",Mit Einschluss von Schafgässlein 12.,false,,POINT (2611605.765570835 1267763.4351404437),,
HGB_1_062_019,"Gemsberg Theil von 5, Mitte","Theil von 415, Mitte",Bis 1375. Nachher siehe Th. v. 5 neben 7.,false,,POINT (2611119.1888852376 1267345.4795183502),,
HGB_1_225_066,Utengasse 56-60,"436-439","Bis 1546. Nachher siehe 56/436 u. 58/438, 60/439 getrennt",false,,POINT (2611707.7668584525 1267627.0219575108),,
HGB_1_116_025,Leonhardsstrasse 6-8,"385 u. a.","Ab [...]. Getrennt seit 1862-1872. Vorher vereinigt 6, 8, 10, 12 seit 1712. Ab 1872 wieder vereinigt, siehe unter Leonhardsstr. 8.",true,genau gesetzt,POINT (2611138.384641719 1267137.8877863789),genau gesetzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_144_004,Nonnenweg 31,"","",true,genau gesetzt,POINT (2610267.78036687 1267620.1748088358),genau gesetzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_062_013,Gemsberg 2 / 4,"4 / 6","Seit 1525. Vorher siehe 2, Th. v. 4 neben 2 und Th. v. 4 neben 6.",false,ungefähr gesetzt,POINT (2611110.3963057213 1267342.7129023392),ungefähr gesetzt,"25.03.2026: Korrektur fehlerhafter Standort"
HGB_1_074_077,Hebelstrasse Theil von 10 neben 8,"258 + 258 A",,false,,POINT (2610855.8780882927 1267778.378615749),,Dossier ist Teil von Hebelstrasse.
HGB_1_078_046,Heuberg 14 u. Theil v. 16 neben 14,"441 A u. Th. v. 440 neben 441 A",Bis 1590. Nachher siehe 14 u. 16 getrennt.,false,,POINT (2611072.167972711 1267297.5645676064),,
HGB_1_078_018,Heuberg Theil von 7 neben Gemsberg,"Theil von 441, viertes Haus von 473","Bis 1388. Nachher siehe 3,7.",false,,POINT (2611060.355553676 1267304.7568334339),,
HGB_1_078_016,Heuberg Theil von 7 neben 3,"Theil von 441, zweites Haus v. 473","Bis 1388. Nachher siehe 3, 7.",false,,POINT (2611060.355553676 1267304.7568334339),,
HGB_1_078_017,"Heuberg Theil von 7, Mitte","Theil von 441, drittes Haus von 473","Bis 1388. NAchher siehe 3,7.",false,,POINT (2611060.355553676 1267304.7568334339),,
HGB_1_194_029,"Spalenberg Theil von 23, Ecke","Theil von 489, Ecke",Bis 1570. Nachher siehe 23/489.,false,,POINT (2611093.8196945167 1267368.2053596454),,
HGB_1_137_043,"Nadelberg Th. v. 37, Mitte","Th. v. 512, Mitte",Bis 1526. Nachher siehe 37 ganz.,false,,POINT (2611061.9715939453 1267407.3322956841),,
HGB_1_137_032,"Nadelberg Theil von 21, Ecke","Theil von 524, Ecke",Bis 1739. Nachher siehe 21/524.,false,,POINT (2611059.731602799 1267480.0615249362),,
HGB_1_137_027,"Nadelberg 17, 19","547 A, 546","Seit 1464. Vorher siehe 17, Th. v. 19 neben 17 und Th. v. 19 Ecke getrennt.",false,,POINT (2611059.365901061 1267493.4380670814),,
HGB_1_137_030,"Nadelberg Theil von 19, Ecke","Theil von 546, Ecke","Bis 1464. Nachher siehe 17, 19 vereinigt.",false,,POINT (2611059.365901061 1267493.4380670814),,
HGB_1_137_061,"Nadelberg Theil von 8, Vorderhaus","Theil von 551, Vorderhaus",Seit [...]. Vorher siehe 6/8 Vorderhaus. Bis 1483. Nachher siehe 8 und Th. v. 6 Hinterhaus vereinigt.,false,,POINT (2611050.0624419255 1267518.7289464436),,
HGB_1_137_058,"Nadelberg Theil von 6, 8, Vorderhaus","Theil von 552, 551, Vorderhaus","Seit 1426. Vorher siehe 6/8. Zeitweilig ohne Th. v. 8, Vorderhaus. Bis 1482. Nachher siehe Th. v. 6 Vorderhaus und Th. v. 8 Vorderhaus.",false,,POINT (2611051.735600464 1267533.322182241),,
HGB_1_137_059,"Nadelberg Theil von 6, 8, Hinterhaus","Theil von 552, 551, Hinterhaus",Seit 1426. Vorher siehe 6/8. Bis 1483. Nachher siehe 8 und Th. v. 6 Hinterhaus vereinigt.,false,,POINT (2611051.735600464 1267533.322182241),,
HGB_1_091_113,St. Johanns-Vorstadt 18,"56-57",Bis 1676. Nachher siehe Th. v. 18 neben 16 u. Th. v. 18 neben 20 getrennt.,false,,POINT (2611016.292907753 1268036.683431238),,
HGB_1_149_011,"Peterskirchplatz Th. v. 5, Ecke","Th. v. 565, Ecke",Bis 1400. Nachher siehe Stiftsgasse Th. v. 4 neben Peterskirchplatz 5 u. Peterskirchplatz Th. v. 5 Ecke vereinigt. Siehe Plan 3 u. 4.,false,,POINT (2611012.1243597777 1267598.081071312),,
