nodeID1,nodeID2
HGB_1_216_027,HGB_1_216_026
HGB_1_216_027,HGB_1_216_028
HGB_1_215_049,HGB_1_215_051
HGB_1_215_048,HGB_1_215_047
HGB_1_215_045,HGB_1_215_042
HGB_1_215_043,HGB_1_215_042
HGB_1_204_021,HGB_1_204_023
HGB_1_204_021,HGB_1_204_022
HGB_1_197_055,HGB_1_197_057
HGB_1_197_018,HGB_1_197_020
HGB_1_190_014,HGB_1_190_016
HGB_1_190_017,HGB_1_190_016
HGB_1_189_065,HGB_1_189_064
HGB_1_189_063,HGB_1_189_064
HGB_1_189_059,HGB_1_189_057
HGB_1_197_038,HGB_1_197_035
HGB_1_197_037,HGB_1_197_036
HGB_1_197_037,HGB_1_189_052
HGB_1_197_036,HGB_1_197_035
HGB_1_189_033,HGB_1_189_032
HGB_1_189_030,HGB_1_189_032
HGB_1_189_023,HGB_1_189_024
HGB_1_184_051,HGB_1_184_050
HGB_1_184_051,HGB_1_184_049
HGB_1_184_050,HGB_1_184_048
HGB_1_184_049,HGB_1_184_048
HGB_1_224_009,HGB_1_183_020
HGB_1_182_010,HGB_1_182_012
HGB_1_182_010,HGB_1_182_009
HGB_1_181_022,HGB_1_181_024
HGB_1_181_022,HGB_1_181_023
HGB_1_177_013,HGB_1_177_014
HGB_1_172_024,HGB_1_172_023
HGB_1_172_022,HGB_1_172_023
HGB_1_170_061,HGB_1_170_059
HGB_1_170_057,HGB_1_170_060
HGB_1_170_059,HGB_1_170_060
HGB_1_170_058,HGB_1_170_059
HGB_1_170_050,HGB_1_170_049
HGB_1_170_048,HGB_1_170_049
HGB_1_170_017,HGB_1_170_016
HGB_1_168_049,HGB_1_168_050
HGB_1_168_030,HGB_1_168_032
HGB_1_168_029,HGB_1_168_032
HGB_1_168_033,HGB_1_168_032
HGB_1_168_032,HGB_1_168_031
HGB_1_168_032,HGB_1_168_026
HGB_1_161_040,HGB_1_161_041
HGB_1_161_039,HGB_1_161_041
HGB_1_161_040,HGB_1_161_039
HGB_1_161_021,HGB_1_161_022
HGB_1_178_016,HGB_1_178_020
HGB_1_178_017,HGB_1_178_019
HGB_1_178_016,HGB_1_178_017
HGB_1_178_017,HGB_1_178_014
HGB_1_178_014,HGB_1_178_018
HGB_1_178_014,HGB_1_178_013
HGB_1_178_017,HGB_1_178_013
HGB_1_159_051,HGB_1_159_061
HGB_1_159_057,HGB_1_159_060
